"id","file","tree","x","y","phi","h.dist","dbh","h","v","SS.max","sinuosity","lean","n.pts","n.pts.red","n.pts.est","n.pts.red.est","partial.occlusion"
"HLS_LiGrip","HLS_LiGrip.txt",1,-16.435,23.0061666666667,2.29245458152802,4.4115617263527,33.3802162023145,18.107,0.997452889656594,0.124052030414659,1.07672975915708,78.2538790417529,240.666666666667,119,299.862677287354,146.509144436629,1
"HLS_LiGrip","HLS_LiGrip.txt",2,-14.78425,24.42175,1.83202243784443,4.89325785379007,28.8689283379967,16.9,0.710634873422972,6.3206218846129,2.38129432156372,85.2982294783083,287.333333333333,136.333333333333,259.336670840623,126.708645802869,1
"HLS_LiGrip","HLS_LiGrip.txt",3,-17.0016666666667,15.1726666666667,4.05630028506059,5.70664496109029,41.4242069688785,20.996,1.76861121735069,4.11239675022745,1.49138700460339,89.1770034326505,223.333333333333,106.666666666667,372.123821215158,181.815033347669,1
"HLS_LiGrip","HLS_LiGrip.txt",4,-8.81933333333333,23.1715,0.636815515300371,5.84727100458254,23.5941982917405,15.17,0.421748527142016,0.344171960785545,1.0075974991891,86.4096775663944,182,91.3333333333333,211.952475841648,103.557322230627,1
"HLS_LiGrip","HLS_LiGrip.txt",5,-18.2294166666667,23.3384166666667,2.48301204174041,5.95416100785709,42.0828550100661,19.584,1.70799686121741,5.14691356113177,2.66179075319521,83.6836432786529,247.666666666667,125.333333333333,378.040618273138,184.705906205244,1
"HLS_LiGrip","HLS_LiGrip.txt",6,-20.1379166666667,17.51925,3.4591856399393,6.9657748039878,39.0215916689973,21.234,1.58640480484182,8.30907285679213,2.05125007341004,85.7965736790469,396.333333333333,195,350.540538112756,171.269711835595,1
"HLS_LiGrip","HLS_LiGrip.txt",7,-6.63933333333333,23.0023333333333,0.448095359055657,7.63493431558198,28.2613301015509,13.945,0.658583907870774,0.204472323323557,1.00268547952379,87.2868581498934,206,102.333333333333,253.878466711823,124.041835700641,1
"HLS_LiGrip","HLS_LiGrip.txt",8,-18.5380833333333,25.60675,2.27451885976822,7.75441528567024,38.5449837659282,21.148,1.54189375611096,NA,NA,NA,299.333333333333,143.666666666667,346.259052307978,169.17783155276,1
"HLS_LiGrip","HLS_LiGrip.txt",9,-5.151,16.9598333333333,5.96737883577796,8.8049485700352,29.6632783830101,15.484,0.679557988458746,0.126078765252743,1.00098437156022,89.5295407391579,278.333333333333,136,266.472512315027,130.195128477898,1
"HLS_LiGrip","HLS_LiGrip.txt",10,-20.0144166666667,13.5869166666667,3.89634262769036,8.91479296195705,35.7250682497442,20.661,1.29537768631167,2.53757451443876,3.43396697939683,72.910968854133,331.333333333333,162.666666666667,320.927058911589,156.80093719247,1
"HLS_LiGrip","HLS_LiGrip.txt",11,-7.48033333333333,27.0631666666667,0.884151861164679,9.52790087996821,29.7631080967608,16.058,0.707948144574533,1.40716203112681,4.65185561188842,25.3679503670446,245.666666666667,122.333333333333,267.369307142739,130.633291186681,1
"HLS_LiGrip","HLS_LiGrip.txt",12,-16.2685,10.3585,4.42613464226052,9.7320638194262,34.6298099658184,16.552,0.986143744483247,2.98432861094917,3.16027478310106,80.2711935798361,364,187.666666666667,311.088084851368,151.993737827956,1
"HLS_LiGrip","HLS_LiGrip.txt",13,-4.64925,15.4075833333333,5.83303626293855,9.85275527938506,23.824258452612,14.122,0.402182629801238,1.71707782144157,3.81750162689945,66.9239543783467,288.333333333333,150.333333333333,214.019162748586,104.567079541183,1
"HLS_LiGrip","HLS_LiGrip.txt",14,-17.1078333333333,29.315,1.92771165017513,10.2675709463556,31.7511843767333,14.718,0.742446021411934,NA,NA,NA,146,70.3333333333333,285.228684456259,139.359159020734,1
"HLS_LiGrip","HLS_LiGrip.txt",15,-2.94891666666667,19.6479166666667,6.27877826008561,10.5716922192157,24.464370250962,16.129,0.480303949204154,2.47698922309774,3.26773831028755,77.482625568167,217.333333333333,108,219.769444186342,107.376594954494,1
"HLS_LiGrip","HLS_LiGrip.txt",16,-6.48466666666667,11.621,5.42921467133721,10.709084131879,25.4558665314639,14.337,0.465672233755994,NA,NA,NA,240,114,228.676298695305,111.728372393202,1
"HLS_LiGrip","HLS_LiGrip.txt",17,-4.59166666666667,13.3911666666667,5.66847562590033,10.9295983766217,20.0565847421064,15.204,0.305399551231058,2.22436855992538,3.25863778292069,74.2491922234492,208.666666666667,102,180.173224809482,88.0303786253789,1
"HLS_LiGrip","HLS_LiGrip.txt",18,-13.5130833333333,30.7175833333333,1.57011802627964,11.0231301267128,9.69834637600538,14.931,0.0702067154515277,0.0945395840645631,1.00120689693799,89.0500772364852,21.6666666666667,11,87.1226265265305,42.567022975127,1
"HLS_LiGrip","HLS_LiGrip.txt",19,-18.795,9.60233333333333,4.23079927146968,11.3873701102873,32.2076516235286,20.209,1.03085873329408,NA,NA,NA,414,206.666666666667,289.329241801018,141.36263992649,1
"HLS_LiGrip","HLS_LiGrip.txt",20,-15.6285,8.36666666666667,4.52840288412372,11.5223326524914,27.9490342843975,18.314,0.706854733621872,1.24380609698356,5.44515887031428,18.3731396731591,213.333333333333,110,251.073036714914,122.671137778705,1
"HLS_LiGrip","HLS_LiGrip.txt",21,-4.02766666666667,26.9475,0.652432683541386,11.9465440629885,28.4799143896482,13.97,0.568961945889917,1.51505510568162,4.19571867910286,41.9841514300467,206.666666666667,108.666666666667,255.842063036201,125.001224245111,1
"HLS_LiGrip","HLS_LiGrip.txt",22,-21.0909166666667,10.4215833333333,4.02769016915907,11.9709403610085,18.966959460158,18.456,0.32792563611599,0.458177368514029,1.04353203542276,88.2103822031263,26.6666666666667,13.6666666666667,170.384853388977,83.2479030761729,0
"HLS_LiGrip","HLS_LiGrip.txt",23,-25.3215,22.8691666666667,2.87879687151453,12.2205619445932,37.2106872382557,20.088,1.36813452944804,1.10945362248536,5.13061311657814,16.3295665912675,326.666666666667,155.333333333333,334.272739018152,163.321469164056,1
"HLS_LiGrip","HLS_LiGrip.txt",24,-8.194,31.1435,1.13534374608505,12.6274078938785,29.2565883835089,16.199,0.689709176687774,1.55592691726005,4.48422363445477,24.3920016070583,47.3333333333333,22,262.819116203471,128.410124944167,0
